users,date
20000,4-Mar
22000,5-Mar
24000,6-Mar
26000,7-Mar
30000,8-Mar
32000,9-Mar
33000,10-Mar
34000,11-Mar
37000,12-Mar
45000,13-Mar
185000,14-Mar
235000,15-Mar
310000,16-Mar
380000,17-Mar
410000,18-Mar
430000,19-Mar
465000,20-Mar
495000,21-Mar
540000,22-Mar
610000,23-Mar
700000,24-Mar
725000,25-Mar
745000,26-Mar
775000,27-Mar
810000,28-Mar
825000,29-Mar
835000,30-Mar
845000,31-Mar
866000,1-Apr
930000,2-Apr
935000,3-Apr
945000,4-Apr
955000,5-Apr
960000,6-Apr
965000,7-Apr
970000,8-Apr
975000,9-Apr
980000,10-Apr
990000,11-Apr
997500,12-Apr
1050000,13-Apr
1055000,14-Apr
1060000,15-Apr
1065000,16-Apr
1070000,17-Apr
1075000,18-Apr
1080000,19-Apr
1085000,20-Apr
1090000,21-Apr
1095000,22-Apr
1100000,23-Apr
1106600,24-Apr
1113239.6,25-Apr
1119919.038,26-Apr
1126638.552,27-Apr
1133398.383,28-Apr
1140198.773,29-Apr
1147039.966,30-Apr
1153922.206,1-May
1160845.739,2-May
1170000,3-May
1170819,4-May
1171638.573,5-May
1172458.72,6-May
1173279.441,7-May
1174100.737,8-May
1174922.608,9-May
1175745.053,10-May
1176568.075,11-May
1177391.673,12-May
1178215.847,13-May
1179040.598,14-May
1179865.926,15-May
1180691.832,16-May
1181518.317,17-May
1182345.379,18-May
1183173.021,19-May
1184001.242,20-May
1184830.043,21-May
1185659.424,22-May
1186000,23-May
1186711.6,24-May
1187423.627,25-May
1188136.081,26-May
1188848.963,27-May
1189562.272,28-May
1190276.01,29-May
1190990.175,30-May
1191704.769,31-May
1192419.792,1-Jun
1193135.244,2-Jun
1200000,3-Jun
